city,Number of schools
Achern,1
Baden-Baden,1
Bad Mergentheim,21
Bad Säckingen,1
Bammental,1
Bernkastel Kues,1
Bretten,2
Biberach,1
Blaubeuren,1
Bruchsal,5
Donaueschingen,1
Ehingen,1
Emmendingen,3
Freiburg,3
Heidelberg,2
Heilbronn,6
Karlsruhe,2
Konstanz,1
Künzelsau,2
Kornwestheim,1
Lahr,1
Lauffen,1
Leonberg,1
Ludwigsburg,6
Mannheim,11
Mariaberg,1
Meersburg,2
Neckargemünd,3
Nürtingen,7
Pforzheim,11
Reichartshausen,1
Rottweil,1
Salm,1
Sasbach,1
Schopfheim,1
Schramberg,1
Schwäbisch Gmünd,3
St. Blasien,5
Tauberbischofsheim,8
Tettnang,2
Ulm,2
Überlingen,7
Zell im Wiesental,1
Graf-Ludwig-Gesamtschule,6
Peter-Wust-Gymnasium Merzig,11
