State,Beds,Imputed Price
Baden-Württemberg,1,1662.7690476190476
Baden-Württemberg,2,1854.7947405969167
Baden-Württemberg,3,1502.3037669081186
Baden-Württemberg,4,1499.9704335747851
Baden-Württemberg,5,1629.687728059472
Baden-Württemberg,6,1629.687728059472
Bavaria,1,1740.3494064203696
Bavaria,2,1657.73233833669
Bavaria,3,1539.0180526224044
Bavaria,4,1564.0180526224044
Bavaria,5,1528.3037669081186
Bavaria,6,1629.687728059472
Berlin,1,1797.9204545454545
Berlin,2,860.0
Berlin,3,810.0
Berlin,4,840.0
Berlin,5,745.5932203389831
Berlin,6,1629.6877280594717
Brandenburg,1,2248.222222222222
Brandenburg,2,1629.6877280594717
Brandenburg,3,1629.6877280594717
Brandenburg,4,1629.6877280594717
Brandenburg,5,1629.6877280594717
Brandenburg,6,1629.6877280594717
Hamburg,1,1859.4375
Hamburg,2,2397.5
Hamburg,3,1495.0
Hamburg,4,1629.6877280594717
Hamburg,5,1629.6877280594717
Hamburg,6,1629.6877280594717
Hesse,1,1662.6870744872745
Hesse,2,1807.8193035023498
Hesse,3,1463.0835157809106
Hesse,4,1459.7501824475773
Hesse,5,1466.7501824475773
Hesse,6,1629.6877280594717
Lower Saxony,1,1658.4151785714284
Lower Saxony,2,1661.0157960446038
Lower Saxony,3,1629.6877280594717
Lower Saxony,4,1629.6877280594717
Lower Saxony,5,1629.6877280594717
Lower Saxony,6,1629.6877280594717
North Rhine-Westphalia,1,1464.4260910690186
North Rhine-Westphalia,2,1720.3614923995374
North Rhine-Westphalia,3,1681.7150290483207
North Rhine-Westphalia,4,1629.6877280594717
North Rhine-Westphalia,5,1629.6877280594717
North Rhine-Westphalia,6,1629.6877280594717
Rhineland-Palatinate,1,1458.5
Rhineland-Palatinate,2,1703.7501824475773
Rhineland-Palatinate,3,1629.6877280594717
Rhineland-Palatinate,4,1783.7501824475773
Rhineland-Palatinate,5,1629.6877280594717
Rhineland-Palatinate,6,1629.6877280594717
Saxony,1,1733.8999999999999
Saxony,2,1740.5625760198238
Saxony,3,1629.6877280594717
Saxony,4,1629.6877280594717
Saxony,5,1629.6877280594717
Saxony,6,1629.6877280594717
Saxony-Anhalt,1,2005.875
Saxony-Anhalt,2,1823.0
Saxony-Anhalt,3,1629.6877280594717
Saxony-Anhalt,4,1629.6877280594717
Saxony-Anhalt,5,1629.6877280594717
Saxony-Anhalt,6,1629.6877280594717
Schleswig-Holstein,1,1384.4285714285713
Schleswig-Holstein,2,1629.6877280594717
Schleswig-Holstein,3,1629.6877280594717
Schleswig-Holstein,4,1629.6877280594717
Schleswig-Holstein,5,1629.6877280594717
Schleswig-Holstein,6,1629.6877280594717
Thuringia,1,1524.75
Thuringia,2,1801.0
Thuringia,3,1629.6877280594717
Thuringia,4,1629.6877280594717
Thuringia,5,1629.6877280594717
Thuringia,6,1629.6877280594717
